PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P08248,Velachery,1976,10/3/2008,147,3,2,5,AbNormal,Yes,23-03-1959,Commercial,ELO,No Access,RH,2.2,2.4,2.6,2.41,564475,259353,15256080
P00746,Chrompet,1118,21-08-2013,77,1,1,3,AdjLand,No,30-08-1976,House,AllPub,Gravel,RH,4.8,4.4,3.4,4.22,234585,95572,8688350
P06622,Karapakkam,1283,12/7/2009,46,1,1,3,Normal Sale,No,21-07-1975,Others,NoSewr ,Gravel,RL,3.4,2.3,3.2,2.99,400679,179897,8177125
P04644,Chrompet,889,26-07-2010,119,1,1,3,Normal Sale,Yes,1/8/1987,Commercial,NoSewr ,Paved,RH,5,3.7,4.8,4.42,323306,184746,11546650
P06987,KK Nagar,2236,31-03-2009,99,4,2,6,Normal Sale,Yes,6/4/1984,Others,NoSeWa,Paved,RL,4,3.2,2.7,3.24,547580,216485,12734420
P07997,KK Nagar,2113,27-05-2008,158,3,2,5,Partial,No,1/6/1991,Commercial,NoSewr ,Gravel,RH,3.8,2.9,3.7,3.49,596778,258066,16129140
P00431,T Nagar,1843,20-04-2014,168,2,1,5,AdjLand,No,28-04-1981,Commercial,ELO,Gravel,RL,2.3,2.6,5,3.59,584913,271567,20889760
P05517,KK Nagar,1795,10/2/2010,47,3,2,5,AbNormal,Yes,13-02-2000,Others,NoSewr ,Paved,RL,2.5,2.3,2.8,2.56,564044,103600,11511100
P07853,Adyar,1070,11/7/2008,70,1,1,3,Family,No,20-07-1975,House,NoSeWa,Paved,RH,2,2.3,5,3.56,295275,101015,7770395
P09477,T Nagar,1545,19-11-2006,58,1,1,4,Family,No,27-11-1975,Commercial,AllPub,No Access,RL,2.2,3.2,2.7,2.675,454649,286261,16838870
P09738,Velachery,1700,11/10/2005,113,2,1,4,Normal Sale,Yes,17-10-1983,Commercial,ELO,No Access,RL,2,2.2,2.9,2.36,511071,131418,14602040
P07736,T Nagar,1511,16-08-2008,4,1,1,4,AbNormal,No,19-08-1998,Others,NoSeWa,Gravel,RL,2.8,4.3,3.7,3.58,355688,165141,12703130
P08472,Chrompet,1104,19-12-2007,67,1,1,3,Partial,No,22-12-1993,Others,NoSeWa,No Access,RL,3.1,2.4,3.7,3,231447,140522,8265980
P03562,Adyar,771,28-02-2011,32,1,1,2,AdjLand,No,1/3/2006,House,AllPub,No Access,RM,4.3,4.3,3.3,3.8,267474,125379,8358575
P05558,KK Nagar,1605,4/2/2010,97,2,1,4,Normal Sale,Yes,6/2/2002,Others,NoSeWa,Paved,RL,4.1,3.8,5,4.37,469485,272957,10918260
P00727,Anna Nagar,1558,9/9/2013,55,1,1,4,Family,Yes,12/9/2002,Others,NoSewr ,No Access,RH,2.5,3.7,2,2.6,394362,215106,11950360
P04542,KK Nagar,1550,12/8/2010,15,2,1,4,Normal Sale,No,14-08-2003,House,NoSewr ,Paved,RL,3.9,2.1,2.8,2.92,290692,72673,9084140
P01869,Chrompet,853,24-01-2012,50,1,1,3,Normal Sale,Yes,28-01-1995,Commercial,NoSewr ,No Access,RL,3.2,3.5,2.9,3.23,360914,67671,11278550
P02217,Adyar,948,13-11-2011,61,1,1,3,AbNormal,Yes,22-11-1972,House,AllPub,Gravel,A,4.9,2.2,2.8,3.31,272406,93192,7168585
P03205,Karapakkam,942,5/5/2011,159,1,1,3,Normal Sale,Yes,15-05-1970,House,NoSeWa,Gravel,A,4.5,4,2.6,3.59,210230,105115,5255750
P06182,Chrompet,1102,9/10/2009,136,1,1,3,Normal Sale,No,16-10-1981,House,NoSewr ,Paved,RL,4.7,4.5,2.2,3.87,211165,135146,8446600
P02206,Karapakkam,1418,15-11-2011,175,2,2,4,Normal Sale,Yes,25-11-1971,Others,NoSeWa,No Access,C,2.3,3.6,4.8,3.69,314676,72113,6555750
P08723,Adyar,1155,9/9/2007,150,1,1,3,Family,No,14-09-1984,Commercial,ELO,No Access,RM,2.3,2.3,5,3.65,457917,134681,13468145
P00677,Chrompet,1061,23-10-2013,147,1,1,3,Normal Sale,Yes,2/11/1975,House,NoSewr ,Gravel,RM,2.4,3.9,3.1,3.21,274247,152360,10157300
P06771,KK Nagar,2258,30-05-2009,52,4,2,6,Normal Sale,No,4/6/1989,Commercial,NoSeWa,Paved,RL,2.6,4.6,4.5,3.96,693848,312232,17346200
P08805,Chrompet,947,12/8/2007,145,1,1,3,AbNormal,No,15-08-1995,House,NoSeWa,Gravel,RM,2.3,4,3.4,3.31,226515,90606,9060600
P06992,KK Nagar,1868,30-03-2009,26,3,2,5,AbNormal,Yes,6/4/1980,Others,AllPub,Gravel,RL,2.4,4.6,2.1,2.94,505829,192697,12043540
P05127,T Nagar,1713,25-04-2010,150,1,1,4,AdjLand,No,2/5/1980,Others,AllPub,No Access,RL,2.2,3.2,2.7,2.675,382009,203738,12733640
P01832,Chrompet,886,31-01-2012,153,1,1,3,Partial,No,2/2/2003,Commercial,NoSeWa,Paved,RH,3.5,4.9,3.4,4.03,300276,93189,10354350
P07551,KK Nagar,2122,6/10/2008,2,3,2,5,AbNormal,No,11/10/1988,Commercial,NoSewr ,Paved,RM,3.8,2.8,4.6,3.82,566135,308801,17155600
P05013,Karapakkam,980,17-05-2010,148,1,1,3,AbNormal,No,26-05-1974,Others,NoSewr ,Paved,RH,3.2,4.2,4.3,3.94,272118,68030,6184500
